Chromosome	Position(bp)	Rate(cM/Mb)	Map(cM)
chr17	13043	3.745829	0.000000
chr17	41084	3.748065	0.105037
chr17	51088	2.578174	0.142532
chr17	52467	2.573723	0.146088
chr17	53011	2.532886	0.147488
chr17	53206	2.487219	0.147982
chr17	57026	2.494051	0.157483
chr17	58275	2.496189	0.160598
chr17	58449	2.500471	0.161032
chr17	58980	2.549913	0.162360
chr17	59667	3.133810	0.164112
chr17	59717	3.335991	0.164269
chr17	60225	3.339742	0.165963
chr17	60532	3.876824	0.166989
chr17	62484	3.897995	0.174556
chr17	62526	3.913183	0.174720
chr17	62646	3.922002	0.175189
chr17	63098	3.923411	0.176962
chr17	65351	3.927157	0.185802
chr17	73263	3.933709	0.216873
chr17	73422	3.924858	0.217499
chr17	78232	4.010730	0.236377
chr17	78382	4.015536	0.236979
chr17	81136	4.028233	0.248038
chr17	81461	4.036568	0.249347
chr17	81765	4.046454	0.250574
chr17	82081	4.046603	0.251853
chr17	82969	4.076310	0.255446
chr17	83173	4.085623	0.256278
chr17	83196	4.092159	0.256372
chr17	84782	4.066967	0.262862
chr17	86350	4.052090	0.269239
chr17	86502	4.051987	0.269855
chr17	86633	4.052236	0.270385
chr17	86802	4.044898	0.271070
chr17	87081	4.028904	0.272199
chr17	87542	3.983776	0.274056
chr17	87755	3.828211	0.274905
chr17	87761	3.637667	0.274928
chr17	87769	3.637667	0.274957
chr17	88525	3.589815	0.277707
chr17	88813	3.367546	0.278741
chr17	88828	3.126372	0.278791
chr17	88988	2.643474	0.279291
chr17	89183	2.378536	0.279807
chr17	90429	2.369999	0.282771
chr17	95631	2.845407	0.295099
chr17	102911	2.567705	0.315814
chr17	108420	3.458098	0.329959
chr17	108547	3.567541	0.330399
chr17	108849	4.353183	0.331476
chr17	109300	4.803365	0.333439
chr17	109329	5.296695	0.333579
chr17	109700	5.521073	0.335544
chr17	110025	12.583795	0.337338
chr17	110579	28.821913	0.344309
chr17	110643	29.788274	0.346154
chr17	110908	45.230816	0.354048
chr17	111030	45.230816	0.359566
chr17	111099	45.230816	0.362687
chr17	111223	45.230816	0.368296
chr17	111250	45.230816	0.369517
chr17	113034	45.230816	0.450209
chr17	113093	45.230816	0.452877
chr17	113390	32.178667	0.466311
chr17	113682	29.778232	0.475707
chr17	113794	15.005442	0.479042
chr17	113886	11.269892	0.480423
chr17	114669	11.281886	0.489247
chr17	116026	11.294253	0.504556
chr17	120174	11.313303	0.551405
chr17	125892	11.313303	0.616094
chr17	126701	11.283970	0.625247
chr17	128389	3.226863	0.644294
chr17	129225	3.213511	0.646992
chr17	129457	3.217194	0.647737
chr17	130606	3.248590	0.651434
chr17	131828	3.392500	0.655404
chr17	132560	3.658121	0.657887
chr17	132994	7.537407	0.659475
chr17	135310	7.553683	0.676931
chr17	139045	9.112941	0.705144
chr17	139334	9.238354	0.707778
chr17	139357	9.331838	0.707990
chr17	139937	9.310769	0.713403
chr17	141035	9.305770	0.723626
chr17	142930	11.298101	0.741261
chr17	146428	12.387663	0.780781
chr17	149172	12.388300	0.814773
chr17	151656	11.954076	0.845546
chr17	152286	11.180088	0.853077
chr17	152362	10.463641	0.853926
chr17	155494	9.249975	0.886699
chr17	159851	8.719150	0.927001
chr17	163278	8.620460	0.956881
chr17	168610	8.618679	1.002845
chr17	172537	7.051496	1.036691
chr17	172683	4.072247	1.037721
chr17	172852	3.800307	1.038409
chr17	173906	6.004525	1.042414
chr17	174121	6.130234	1.043705
chr17	179396	6.717929	1.076042
chr17	179777	6.826779	1.078602
chr17	182504	8.926486	1.097218
chr17	183238	8.926486	1.103770
chr17	188593	5.874431	1.151572
chr17	193188	5.839373	1.178565
chr17	198072	5.788810	1.207084
chr17	198273	5.037744	1.208248
chr17	198427	5.037744	1.209024
chr17	198698	4.592774	1.210389
chr17	200559	4.487574	1.218936
chr17	200852	4.487574	1.220251
chr17	204759	4.607264	1.237784
chr17	209814	5.136847	1.261074
chr17	210080	5.438226	1.262440
chr17	210103	5.736220	1.262565
chr17	210420	5.948782	1.264383
chr17	212731	5.603546	1.278131
chr17	214402	5.066842	1.287495
chr17	216763	4.632989	1.299457
chr17	217829	4.362399	1.304396
chr17	217867	4.321732	1.304562
chr17	218145	3.252754	1.305763
chr17	218466	2.713685	1.306808
chr17	218709	0.981703	1.307467
chr17	219586	0.878158	1.308328
chr17	220385	0.873628	1.309030
chr17	221278	0.872176	1.309810
chr17	222684	0.870992	1.311036
chr17	222982	0.871544	1.311296
chr17	223128	0.872047	1.311423
chr17	226749	0.958551	1.314580
chr17	228677	0.993307	1.316429
chr17	228978	1.074682	1.316728
chr17	233410	1.109999	1.321491
chr17	237667	1.095690	1.326216
chr17	241835	0.895869	1.330783
chr17	245185	0.873459	1.333784
chr17	245312	0.796770	1.333895
chr17	245355	0.730905	1.333929
chr17	257557	0.702801	1.342847
chr17	262623	0.690869	1.346408
chr17	265516	0.677159	1.348407
chr17	270933	1.041427	1.352075
chr17	272312	22.064598	1.353511
chr17	276016	21.984891	1.435238
chr17	276933	21.982397	1.455398
chr17	277602	2.034313	1.470104
chr17	278133	1.263221	1.471185
chr17	278302	0.338235	1.471398
chr17	280946	0.341448	1.472292
chr17	281046	0.343653	1.472327
chr17	283336	0.341385	1.473114
chr17	284265	0.347817	1.473431
chr17	285277	0.532776	1.473783
chr17	285476	0.802120	1.473889
chr17	285676	0.963383	1.474049
chr17	285990	1.296600	1.474352
chr17	286539	1.319947	1.475064
chr17	286649	1.347105	1.475209
chr17	288148	1.310264	1.477228
chr17	288186	1.306492	1.477278
chr17	290460	1.348532	1.480249
chr17	291976	1.347698	1.482293
chr17	293138	1.041849	1.483859
chr17	294257	0.688672	1.485025
chr17	295283	0.254519	1.485732
chr17	397752	0.925140	1.511812
chr17	398048	1.750928	1.512086
chr17	398107	2.490096	1.512189
chr17	400959	4.042817	1.519291
chr17	401847	4.139384	1.522881
chr17	402843	4.009542	1.527004
chr17	404617	2.161582	1.534117
chr17	407465	0.305379	1.540273
chr17	410451	0.196768	1.541185
chr17	411369	0.193859	1.541365
chr17	414003	0.194394	1.541876
chr17	415667	0.212648	1.542199
chr17	420033	0.210543	1.543128
chr17	420165	0.201655	1.543156
chr17	420467	0.196713	1.543216
chr17	421316	0.194312	1.543383
chr17	421437	0.192393	1.543407
chr17	421755	0.191153	1.543468
chr17	422896	0.190984	1.543686
chr17	423051	0.190859	1.543716
chr17	423895	0.190649	1.543877
chr17	424880	0.190777	1.544065
chr17	425099	0.190612	1.544106
chr17	426116	0.190957	1.544300
chr17	426751	0.190957	1.544422
chr17	428071	0.192448	1.544674
chr17	428247	0.249626	1.544708
chr17	428594	0.302337	1.544794
chr17	430245	0.503502	1.545293
chr17	431590	0.793462	1.545971
chr17	432471	0.366021	1.546670
chr17	433001	0.295119	1.546864
chr17	434249	0.287049	1.547232
chr17	434610	0.285678	1.547335
chr17	435896	0.285323	1.547703
chr17	436221	0.287313	1.547796
chr17	436308	0.289527	1.547821
chr17	436848	0.288171	1.547977
chr17	436900	0.287424	1.547992
chr17	439124	0.132540	1.548631
chr17	440487	0.109725	1.548812
chr17	440497	0.109678	1.548813
chr17	441275	0.093017	1.548898
chr17	446011	0.097083	1.549339
chr17	446162	0.102071	1.549353
chr17	448042	2.891836	1.549545
chr17	452690	2.843595	1.562987
chr17	452898	2.748943	1.563578
chr17	454985	2.749480	1.569315
chr17	455814	2.683298	1.571594
chr17	462323	1.436024	1.589060
chr17	463843	1.422445	1.591243
chr17	464259	1.371447	1.591834
chr17	464832	0.915517	1.592620
chr17	465333	0.506841	1.593079
chr17	465775	0.585521	1.593303
chr17	466471	0.191827	1.593711
chr17	467957	0.145696	1.593996
chr17	468192	0.108892	1.594030
chr17	470314	0.104421	1.594261
chr17	470333	0.100435	1.594263
chr17	471903	0.099381	1.594421
chr17	475922	0.099652	1.594820
chr17	476351	0.099864	1.594863
chr17	477471	0.099979	1.594975
chr17	486821	0.099967	1.595909
chr17	487437	0.099936	1.595971
chr17	488260	0.099925	1.596053
chr17	488606	0.099926	1.596088
chr17	488725	0.100056	1.596100
chr17	489043	0.100061	1.596131
chr17	489431	0.100088	1.596170
chr17	490016	0.100426	1.596229
chr17	490308	0.100125	1.596258
chr17	490977	0.100090	1.596325
chr17	491251	0.100094	1.596353
chr17	491724	0.099990	1.596400
chr17	499743	0.099934	1.597202
chr17	503185	0.108128	1.597546
chr17	503759	0.313482	1.597608
chr17	504218	0.768639	1.597752
chr17	504459	1.139657	1.597937
chr17	504978	1.378172	1.598528
chr17	505162	1.800311	1.598782
chr17	505227	2.149087	1.598899
chr17	505250	2.390398	1.598948
chr17	505771	1.022079	1.600194
chr17	505870	0.629192	1.600295
chr17	506808	0.246374	1.600885
chr17	507038	0.121115	1.600942
chr17	509519	0.121916	1.601242
chr17	509833	0.121906	1.601281
chr17	510707	0.137640	1.601387
chr17	511156	0.127686	1.601449
chr17	511190	0.125260	1.601453
chr17	514680	0.125219	1.601890
chr17	517311	0.125219	1.602220
chr17	517419	3.087550	1.602233
chr17	517521	0.159657	1.602548
chr17	517907	0.123776	1.602610
chr17	518070	0.123771	1.602630
chr17	518120	0.108449	1.602636
chr17	519325	0.095000	1.602767
chr17	520314	0.087794	1.602861
chr17	524297	0.087811	1.603211
chr17	524326	0.087754	1.603213
chr17	524391	0.087840	1.603219
chr17	527671	0.089534	1.603507
chr17	528868	0.091800	1.603614
chr17	529136	0.092974	1.603639
chr17	529595	0.094928	1.603682
chr17	529836	0.098711	1.603704
chr17	529872	0.098711	1.603708
chr17	530339	0.103959	1.603754
chr17	531558	0.106762	1.603881
chr17	531729	0.107777	1.603899
chr17	533508	0.125943	1.604091
chr17	533588	0.125943	1.604101
chr17	534050	0.120858	1.604159
chr17	534525	0.074976	1.604216
chr17	535441	0.058956	1.604285
chr17	535527	0.040487	1.604290
chr17	536198	0.035471	1.604317
chr17	536414	0.032291	1.604325
chr17	537037	0.031768	1.604345
chr17	548503	0.031768	1.604709
chr17	554080	0.033002	1.604887
chr17	554513	0.034119	1.604901
chr17	556772	0.034119	1.604978
chr17	556884	0.034440	1.604982
chr17	558051	0.034443	1.605022
chr17	559539	0.034670	1.605073
chr17	559888	0.038183	1.605085
chr17	560423	0.095307	1.605106
chr17	560604	0.232164	1.605123
chr17	560851	0.349514	1.605180
chr17	562138	0.347547	1.605630
chr17	562244	0.288611	1.605667
chr17	562433	0.235916	1.605722
chr17	562478	0.240725	1.605732
chr17	562495	0.240411	1.605736
chr17	562507	0.191454	1.605739
chr17	563338	0.191126	1.605898
chr17	563767	0.190640	1.605980
chr17	567955	0.163805	1.606779
chr17	568153	0.096118	1.606811
chr17	568570	0.054546	1.606851
chr17	569616	0.050790	1.606908
chr17	570388	0.049930	1.606947
chr17	571631	0.068375	1.607009
chr17	571840	0.098548	1.607024
chr17	571927	0.097715	1.607032
chr17	573714	0.109120	1.607207
chr17	573970	0.114035	1.607235
chr17	574045	0.118140	1.607243
chr17	574982	0.118140	1.607354
chr17	575504	0.162310	1.607416
chr17	576517	0.182569	1.607580
chr17	576740	0.187962	1.607621
chr17	577159	0.153340	1.607700
chr17	577161	0.127671	1.607700
chr17	577795	0.116160	1.607781
chr17	577890	0.107585	1.607792
chr17	577963	0.096536	1.607800
chr17	578180	0.090554	1.607821
chr17	578510	0.085418	1.607851
chr17	578587	0.080443	1.607857
chr17	578681	0.073489	1.607865
chr17	579293	0.067677	1.607910
chr17	579370	0.067677	1.607915
chr17	579632	0.062051	1.607933
chr17	579729	0.052998	1.607939
chr17	579776	0.047404	1.607941
chr17	580479	0.044152	1.607975
chr17	584273	0.044147	1.608142
chr17	584338	0.042991	1.608145
chr17	584999	0.042048	1.608173
chr17	585170	0.042064	1.608181
chr17	585475	0.041266	1.608193
chr17	588329	0.041312	1.608311
chr17	591078	0.042993	1.608425
chr17	593010	0.043863	1.608508
chr17	593600	0.059429	1.608534
chr17	593819	0.079524	1.608547
chr17	596972	0.174493	1.608797
chr17	597310	0.256367	1.608856
chr17	598240	0.301692	1.609095
chr17	598311	0.356075	1.609116
chr17	599811	0.582921	1.609650
chr17	599924	0.787508	1.609716
chr17	600257	0.817996	1.609978
chr17	600502	0.317357	1.610179
chr17	600735	0.167341	1.610253
