chr,pos,cm,increment_cm
1,55550,0,0
1,254996,0.439456,0.439456
1,564598,1.478148,1.038692
1,750235,2.009238,0.53109
1,785050,2.028035,0.018797
1,957898,2.595322,0.567287
1,1100217,2.743511,0.148189
1,1124663,2.907643,0.164132
1,1356550,3.061948,0.154305
1,1425700,3.198939,0.136991
1,1510801,3.233657,0.034718
1,1644836,3.491003,0.257346
1,1888193,3.584996,0.093993
1,1981118,4.327904,0.742908
1,2035379,4.445762,0.117858
1,2214743,4.519686,0.073924
1,2220649,4.63487,0.115184
1,2299627,4.758114,0.123244
1,2302911,4.855689,0.097575
1,2339074,4.938711,0.083022
1,2369498,5.18699,0.248279
1,2747638,5.243498,0.056508
1,2799480,5.332618,0.08912
1,2806107,5.408082,0.075464
1,2878366,5.489223,0.081141
1,2880384,5.582398,0.093175
1,2898515,5.702093,0.119695
1,2989826,5.753532,0.051439
1,3020246,5.944469,0.190937
1,3055876,6.046787,0.102318
1,3072692,6.211232,0.164445
1,3109151,6.268272,0.05704
1,3118326,6.420614,0.152342
1,3149408,6.49301,0.072396
1,3150696,6.545091,0.052081
1,3165267,6.619694,0.074603
1,3168280,6.700665,0.080971
1,3264190,6.876303,0.175638
1,3276374,7.095591,0.219288
1,3329384,7.207133,0.111542
1,3356795,7.430735,0.223602
1,3404227,7.46517,0.034435
1,3423467,7.570429,0.105259
1,3456296,7.607596,0.037167
1,3487126,7.780567,0.172971
1,3494695,7.892526,0.111959
1,3538835,8.10972,0.217194
1,3572774,8.124294,0.014574
1,3607520,8.458183,0.333889
1,3679477,8.579049,0.120866
1,3681681,8.731768,0.152719
1,3781096,8.77576,0.043992
1,3787749,8.87289,0.09713
1,3999637,9.052152,0.179262
1,4004250,9.165808,0.113656
1,4009694,9.188381,0.022573
1,4011639,9.344476,0.156095
1,4019237,9.406869,0.062393
1,4105139,9.551202,0.144333
1,4111187,9.631933,0.080731
1,4152715,9.691195,0.059262
1,4156118,9.823804,0.132609
1,4283315,9.966701,0.142897
1,4299727,10.166855,0.200154
1,4365275,10.279202,0.112347
1,4368951,10.423993,0.144791
1,4379209,10.432991,0.008998
1,4380973,10.553291,0.1203
1,4511667,10.687653,0.134362
1,4517334,10.761466,0.073813
1,4540795,10.801618,0.040152
1,4544793,10.878701,0.077083
1,4631266,10.959851,0.08115
1,4749076,11.215024,0.255173
1,4752960,11.357743,0.142719
1,4768540,11.382878,0.025135
1,4776974,11.481734,0.098856
1,5000086,11.79733,0.315596
1,5002457,11.938788,0.141458
1,5017346,11.960819,0.022031
1,5036549,12.107784,0.146965
1,5039093,12.192532,0.084748
1,5089015,12.231858,0.039326
1,5091827,12.379096,0.147238
1,5130281,12.404155,0.025059
1,5137666,12.52075,0.116595
1,5168663,12.619178,0.098428
1,5310609,12.788158,0.16898
1,5312366,12.904795,0.116637
1,5318552,12.980811,0.076016
1,5356607,13.048713,0.067902
1,5358384,13.156109,0.107396
1,5472489,13.291526,0.135417
1,5536192,13.432103,0.140577
1,5542017,13.587693,0.15559
1,5572521,13.622976,0.035283
1,5575158,13.741815,0.118839
1,5630901,13.790155,0.04834
1,5634851,13.9361,0.145945
1,5640332,14.015526,0.079426
1,5661009,14.047212,0.031686
1,5664995,14.129452,0.08224
1,5707762,14.26773,0.138278
1,5709228,14.398665,0.130935
1,5875340,14.863774,0.465109
1,5902976,15.184923,0.321149
1,5913621,15.230386,0.045463
1,5915761,15.321143,0.090757
1,6137403,15.427162,0.106019
1,6145407,15.633001,0.205839
1,6217859,15.724864,0.091863
1,6222501,15.808862,0.083998
1,6322936,15.959789,0.150927
1,6345134,16.089418,0.129629
1,6530435,16.159008,0.06959
1,6561300,16.221619,0.062611
1,6568870,16.325266,0.103647
1,6638064,16.392361,0.067095
1,6644723,16.440489,0.048128
1,7035830,16.537475,0.096986
1,7169066,16.640877,0.103402
1,7173895,16.729039,0.088162
1,7245922,16.782091,0.053052
1,7250522,16.953045,0.170954
1,7324547,16.991758,0.038713
1,7362781,17.074536,0.082778
1,7368829,17.143869,0.069333
1,7487749,17.236011,0.092142
1,7491320,17.358144,0.122133
1,7507642,17.376095,0.017951
1,7513025,17.504727,0.128632
1,7603317,17.710633,0.205906
1,7617555,17.95487,0.244237
1,7708733,18.112501,0.157631
1,7711426,18.211912,0.099411
1,7909737,18.347306,0.135394
1,7975789,18.465826,0.11852
1,8196406,18.528849,0.063023
1,8206130,18.657882,0.129033
1,8348505,18.859951,0.202069
1,8352398,18.948124,0.088173
1,8372536,19.042906,0.094782
1,8887937,19.146082,0.103176
1,8985036,19.232079,0.085997
1,8989235,19.316538,0.084459
1,9049032,19.60501,0.288472
1,9067142,19.626819,0.021809
1,9070589,19.833162,0.206343
1,9286018,20.092127,0.258965
1,9292082,20.181249,0.089122
1,9360236,20.321778,0.140529
1,9367908,20.432499,0.110721
1,9396718,20.469986,0.037487
1,9415009,20.589383,0.119397
1,9460746,20.68741,0.098027
1,9476781,20.874179,0.186769
1,9510526,20.981663,0.107484
1,9512371,21.037515,0.055852
1,9579964,21.22185,0.184335
1,9688512,21.251175,0.029325
1,9767817,21.44166,0.190485
1,9891215,21.464187,0.022527
1,9906803,21.60105,0.136863
1,9964708,21.609256,0.008206
1,9978247,21.711437,0.102181
1,10479678,21.789188,0.077751
1,10642793,21.893347,0.104159
1,10654369,21.959715,0.066368
1,10750919,22.039157,0.079442
1,10771488,22.259507,0.22035
1,10802252,22.323344,0.063837
1,10815702,22.606692,0.283348
1,10855315,22.712021,0.105329
1,10874522,22.859649,0.147628
1,10926127,22.963225,0.103576
1,10936544,23.047268,0.084043
1,10962372,23.067841,0.020573
1,10968966,23.188114,0.120273
1,10992104,23.212391,0.024277
1,10995479,23.35851,0.146119
1,11024353,23.407298,0.048788
1,11032827,23.525089,0.117791
1,11171226,23.663079,0.13799
1,11383839,23.725483,0.062404
1,11390336,23.819124,0.093641
1,11703843,24.171036,0.351912
1,11713563,24.312269,0.141233
1,11774956,24.509061,0.196792
1,11779499,24.595409,0.086348
1,11815364,24.698923,0.103514
1,11824303,24.857117,0.158194
1,11907648,24.904085,0.046968
1,11933640,24.989714,0.085629
1,11986621,25.01605,0.026336
1,11999556,25.086054,0.070004
1,12105332,25.182057,0.096003
1,12147753,25.335651,0.153594
1,12157881,25.471184,0.135533
1,12194451,25.678909,0.207725
1,12202095,25.789569,0.11066
1,12262690,25.885555,0.095986
1,12268721,26.022845,0.13729
1,12279581,26.122129,0.099284
1,12600396,26.229713,0.107584
1,12603808,26.338811,0.109098
1,12645497,26.421469,0.082658
1,12654035,26.505436,0.083967
1,12686912,26.583495,0.078059
1,12689692,26.669627,0.086132
1,12722411,26.850396,0.180769
1,12778345,26.953677,0.103281
1,12779618,27.026387,0.07271
1,12866590,27.080903,0.054516
1,12899930,27.175931,0.095028
1,13384058,27.396889,0.220958
1,13807146,28.204497,0.807608
1,13814103,28.336468,0.131971
1,13841295,28.52251,0.186042
1,13843653,28.593594,0.071084
1,13922117,28.736923,0.143329
1,13935141,28.943256,0.206333
