Chromosome	Position(bp)	Rate(cM/Mb)	Map(cM)
chrX	2703391	5.227783	0.000000
chrX	2703633	5.277780	0.001265
chrX	2705462	5.121935	0.010918
chrX	2706944	5.114891	0.018509
chrX	2710840	2.778556	0.038437
chrX	2711429	2.354973	0.040073
chrX	2714756	2.346818	0.047908
chrX	2715324	2.345089	0.049241
chrX	2716346	2.721136	0.051638
chrX	2719111	2.724817	0.059162
chrX	2720702	2.842632	0.063497
chrX	2724448	2.905217	0.074145
chrX	2725299	2.935344	0.076618
chrX	2725791	3.005689	0.078062
chrX	2726248	3.072849	0.079435
chrX	2726396	3.430927	0.079890
chrX	2726647	4.496653	0.080751
chrX	2729346	4.560633	0.092888
chrX	2732096	4.528308	0.105430
chrX	2735539	4.221278	0.121021
chrX	2735741	3.656236	0.121873
chrX	2744765	4.171829	0.154867
chrX	2746555	4.158381	0.162335
chrX	2750307	3.993187	0.177937
chrX	2751700	3.579986	0.183500
chrX	2752070	3.278242	0.184824
chrX	2752707	2.694080	0.186912
chrX	2755089	2.635005	0.193330
chrX	2760060	3.565412	0.206428
chrX	2767385	3.928361	0.232545
chrX	2775998	5.023073	0.266380
chrX	2777355	5.561234	0.273196
chrX	2777560	5.585188	0.274336
chrX	2778345	5.663952	0.278721
chrX	2779570	5.673778	0.285659
chrX	2783776	6.157227	0.309523
chrX	2800295	6.156674	0.411234
chrX	2802397	6.162425	0.424175
chrX	2802568	6.164265	0.425229
chrX	2802593	6.168131	0.425383
chrX	2803069	6.171981	0.428319
chrX	2803276	6.181901	0.429597
chrX	2806589	6.183691	0.450078
chrX	2821450	5.085815	0.541973
chrX	2822253	5.151055	0.546057
chrX	2825363	5.157386	0.562077
chrX	2825403	5.161092	0.562283
chrX	2825596	5.161514	0.563279
chrX	2832742	5.419664	0.600164
chrX	2833506	5.772002	0.604304
chrX	2833661	5.764152	0.605199
chrX	2834723	5.989204	0.611320
chrX	2843818	5.984395	0.665792
chrX	2845062	6.063258	0.673237
chrX	2847017	6.076505	0.685091
chrX	2847133	6.079024	0.685795
chrX	2848508	6.007867	0.694154
chrX	2849981	5.737899	0.703004
chrX	2850529	5.220356	0.706148
chrX	2850801	5.037294	0.707568
chrX	2850901	4.905602	0.708072
chrX	2857457	4.905232	0.740233
chrX	2857813	4.891641	0.741979
chrX	2867413	4.890467	0.788939
chrX	2867650	4.890467	0.790098
chrX	2871011	4.761769	0.806535
chrX	2876502	4.727652	0.832682
chrX	2880762	4.712571	0.852821
chrX	2881471	4.711286	0.856163
chrX	2894827	4.709304	0.919087
chrX	2898186	4.709177	0.934905
chrX	2901780	4.709177	0.951830
chrX	2912728	4.707459	1.003386
chrX	2914995	4.707459	1.014058
chrX	2916735	4.707459	1.022249
chrX	2920890	3.974782	1.041808
chrX	2922066	3.971514	1.046483
chrX	2928555	3.979256	1.072254
chrX	2931544	3.214168	1.084148
chrX	2934431	3.214168	1.093427
chrX	2937170	1.199976	1.102231
chrX	2937748	1.199976	1.102924
chrX	2937992	0.530525	1.103217
chrX	2938940	0.530525	1.103720
chrX	2940127	0.529105	1.104350
chrX	2940894	0.449984	1.104756
chrX	2940908	0.451142	1.104762
chrX	2942109	0.451142	1.105304
chrX	2942986	0.449590	1.105699
chrX	2944537	0.449590	1.106397
chrX	2944799	0.488532	1.106514
chrX	2951434	0.488532	1.109756
chrX	2951931	0.505314	1.109999
chrX	2953583	0.505314	1.110833
chrX	2957282	0.505314	1.112703
chrX	2958079	0.505314	1.113105
chrX	2958300	0.546605	1.113217
chrX	2959861	0.611789	1.114070
chrX	2961699	0.611789	1.115195
chrX	2962707	0.611789	1.115811
chrX	2965166	0.611789	1.117316
chrX	2966221	0.611789	1.117961
chrX	2967006	0.614051	1.118441
chrX	2967056	0.631213	1.118472
chrX	2975405	0.617873	1.123742
chrX	2975957	0.616961	1.124083
chrX	2976106	0.613722	1.124175
chrX	2985672	0.613676	1.130046
chrX	2988409	0.613677	1.131726
chrX	2995077	0.613677	1.135818
chrX	2996162	0.613703	1.136483
chrX	2996459	0.613703	1.136666
chrX	2997069	23.102283	1.137040
chrX	2999141	14.458189	1.184908
chrX	3001266	14.463942	1.215632
chrX	3002219	1.091570	1.229416
chrX	3002687	0.897692	1.229927
chrX	3004643	0.849538	1.231683
chrX	3005242	0.838057	1.232191
chrX	3007480	0.838363	1.234067
chrX	3008360	23.114912	1.234805
chrX	3010500	27.904960	1.284271
chrX	3012405	15.300890	1.337430
chrX	3013032	0.366410	1.347023
chrX	3017070	0.366417	1.348503
chrX	3019114	0.366425	1.349252
chrX	3019465	0.366425	1.349380
chrX	3019874	0.366425	1.349530
chrX	3020176	0.366425	1.349641
chrX	3020298	0.366440	1.349686
chrX	3020349	1.258843	1.349704
chrX	3021798	1.258842	1.351528
chrX	3023307	1.258828	1.353428
chrX	3023365	1.258829	1.353501
chrX	3025174	1.258885	1.355778
chrX	3025588	1.258877	1.356299
chrX	3028260	1.259125	1.359663
chrX	3028289	1.259698	1.359700
chrX	3028385	1.745213	1.359821
chrX	3028405	2.040263	1.359855
chrX	3028627	9.478781	1.360308
chrX	3029118	9.478944	1.364962
chrX	3029349	9.478944	1.367152
chrX	3029385	9.534028	1.367493
chrX	3029481	18.245415	1.368409
chrX	3030005	18.245415	1.377969
