Chromosome	Position(bp)	Rate(cM/Mb)	Map(cM)
chrX_par1	150118	1.134623	0.000000
chrX_par1	154675	1.129628	0.005170
chrX_par1	154753	1.136545	0.005259
chrX_par1	168567	1.586575	0.020959
chrX_par1	168822	1.985777	0.021363
chrX_par1	169922	3.559686	0.023548
chrX_par1	172611	5.232795	0.033120
chrX_par1	172881	5.256222	0.034533
chrX_par1	176827	5.241851	0.055274
chrX_par1	177767	5.227712	0.060201
chrX_par1	202664	4.793997	0.190355
chrX_par1	205383	4.792419	0.203390
chrX_par1	206504	4.669372	0.208763
chrX_par1	208386	4.587339	0.217550
chrX_par1	208434	4.468688	0.217770
chrX_par1	219978	4.270654	0.269357
chrX_par1	221431	6.011466	0.275562
chrX_par1	285850	3.404216	0.662815
chrX_par1	287573	2.495113	0.668680
chrX_par1	290475	2.466252	0.675921
chrX_par1	291839	2.454695	0.679285
chrX_par1	294017	2.450934	0.684631
chrX_par1	294018	2.448836	0.684634
chrX_par1	295132	2.425417	0.687362
chrX_par1	297283	1.759834	0.692579
chrX_par1	298440	0.332998	0.694615
chrX_par1	302139	0.323675	0.695847
chrX_par1	302533	0.323285	0.695974
chrX_par1	302966	0.319195	0.696114
chrX_par1	308565	0.319317	0.697902
chrX_par1	310897	0.938350	0.698646
chrX_par1	311316	1.086834	0.699039
chrX_par1	311671	1.261059	0.699425
chrX_par1	312029	1.123890	0.699877
chrX_par1	313626	0.615963	0.701672
chrX_par1	313771	0.476223	0.701761
chrX_par1	316699	0.742155	0.703155
chrX_par1	316853	1.111371	0.703270
chrX_par1	317312	1.152144	0.703780
chrX_par1	317771	1.545036	0.704308
chrX_par1	317834	2.217123	0.704406
chrX_par1	317940	2.616554	0.704641
chrX_par1	317966	2.730784	0.704709
chrX_par1	318164	2.738414	0.705250
chrX_par1	318180	2.492975	0.705293
chrX_par1	318227	3.008361	0.705411
chrX_par1	318325	3.660083	0.705705
chrX_par1	318438	3.657913	0.706119
chrX_par1	318819	3.656130	0.707513
chrX_par1	318955	3.661999	0.708010
chrX_par1	319306	2.195375	0.709295
chrX_par1	319481	1.223499	0.709679
chrX_par1	319530	1.044231	0.709739
chrX_par1	319606	0.913936	0.709819
chrX_par1	319637	0.795776	0.709847
chrX_par1	319832	0.598158	0.710002
chrX_par1	319852	0.444186	0.710014
chrX_par1	320203	0.434607	0.710170
chrX_par1	320580	0.429545	0.710334
chrX_par1	323713	1.122739	0.711680
chrX_par1	324662	2.586563	0.712745
chrX_par1	331033	3.646085	0.729224
chrX_par1	331641	3.735484	0.731441
chrX_par1	333275	2.575928	0.737545
chrX_par1	342775	2.623492	0.762016
chrX_par1	345795	2.623482	0.769939
chrX_par1	350051	6.018106	0.781105
chrX_par1	351651	10.480532	0.790734
chrX_par1	352764	10.660815	0.802398
chrX_par1	353979	10.708065	0.815351
chrX_par1	356282	10.737042	0.840012
chrX_par1	357243	10.754774	0.850330
chrX_par1	361126	10.772964	0.892091
chrX_par1	361199	10.781718	0.892877
chrX_par1	361628	10.782381	0.897503
chrX_par1	370446	10.782543	0.992582
chrX_par1	374959	10.785293	1.041243
chrX_par1	375343	10.785293	1.045385
chrX_par1	379653	10.784474	1.091870
chrX_par1	379870	10.789036	1.094210
chrX_par1	380020	10.789036	1.095828
chrX_par1	388839	10.793664	1.190977
chrX_par1	391747	10.793664	1.222365
chrX_par1	391928	10.796506	1.224318
chrX_par1	393803	10.808930	1.244562
chrX_par1	395987	10.812277	1.268168
chrX_par1	398974	10.794475	1.300465
chrX_par1	400108	10.579821	1.312706
chrX_par1	403395	10.247473	1.347482
chrX_par1	403881	9.768700	1.352462
chrX_par1	404445	9.674220	1.357971
chrX_par1	404868	3.821165	1.362064
chrX_par1	405007	3.820791	1.362595
chrX_par1	406672	3.823878	1.368956
chrX_par1	407015	3.827662	1.370268
chrX_par1	409482	3.829961	1.379711
chrX_par1	411996	3.837486	1.389339
chrX_par1	412394	3.844805	1.390867
chrX_par1	412431	3.844805	1.391009
chrX_par1	417739	8.909767	1.411417
chrX_par1	420296	13.128383	1.434199
chrX_par1	423554	13.586064	1.476972
chrX_par1	423589	13.856914	1.477447
chrX_par1	425232	13.856914	1.500214
