id,chr,pos,cm
1,1,55550,0
2,1,254996,0.439456
3,1,564598,1.478148
4,1,750235,2.009238
5,1,785050,2.028035
6,1,957898,2.595322
7,1,1100217,2.743511
8,1,1124663,2.907643
9,1,1356550,3.061948
10,1,1425700,3.198939
11,1,1510801,3.233657
12,1,1644836,3.491003
13,1,1888193,3.584996
14,1,1981118,4.327904
15,1,2035379,4.445762
16,1,2214743,4.519686
17,1,2220649,4.63487
18,1,2299627,4.758114
19,1,2302911,4.855689
20,1,2339074,4.938711
21,1,2369498,5.18699
22,1,2747638,5.243498
23,1,2799480,5.332618
24,1,2806107,5.408082
25,1,2878366,5.489223
26,1,2880384,5.582398
27,1,2898515,5.702093
28,1,2989826,5.753532
29,1,3020246,5.944469
30,1,3055876,6.046787
31,1,3072692,6.211232
32,1,3109151,6.268272
33,1,3118326,6.420614
34,1,3149408,6.49301
35,1,3150696,6.545091
36,1,3165267,6.619694
37,1,3168280,6.700665
38,1,3264190,6.876303
39,1,3276374,7.095591
40,1,3329384,7.207133
41,1,3356795,7.430735
42,1,3404227,7.46517
43,1,3423467,7.570429
44,1,3456296,7.607596
45,1,3487126,7.780567
46,1,3494695,7.892526
47,1,3538835,8.10972
48,1,3572774,8.124294
49,1,3607520,8.458183
50,1,3679477,8.579049
51,1,3681681,8.731768
52,1,3781096,8.77576
53,1,3787749,8.87289
54,1,3999637,9.052152
55,1,4004250,9.165808
56,1,4009694,9.188381
57,1,4011639,9.344476
58,1,4019237,9.406869
59,1,4105139,9.551202
60,1,4111187,9.631933
61,1,4152715,9.691195
62,1,4156118,9.823804
63,1,4283315,9.966701
64,1,4299727,10.166855
65,1,4365275,10.279202
66,1,4368951,10.423993
67,1,4379209,10.432991
68,1,4380973,10.553291
69,1,4511667,10.687653
70,1,4517334,10.761466
71,1,4540795,10.801618
72,1,4544793,10.878701
73,1,4631266,10.959851
74,1,4749076,11.215024
75,1,4752960,11.357743
76,1,4768540,11.382878
77,1,4776974,11.481734
78,1,5000086,11.79733
79,1,5002457,11.938788
80,1,5017346,11.960819
81,1,5036549,12.107784
82,1,5039093,12.192532
83,1,5089015,12.231858
84,1,5091827,12.379096
85,1,5130281,12.404155
86,1,5137666,12.52075
87,1,5168663,12.619178
88,1,5310609,12.788158
89,1,5312366,12.904795
90,1,5318552,12.980811
91,1,5356607,13.048713
92,1,5358384,13.156109
93,1,5472489,13.291526
94,1,5536192,13.432103
95,1,5542017,13.587693
96,1,5572521,13.622976
97,1,5575158,13.741815
98,1,5630901,13.790155
99,1,5634851,13.9361
100,1,5640332,14.015526
101,1,5661009,14.047212
102,1,5664995,14.129452
103,1,5707762,14.26773
104,1,5709228,14.398665
105,1,5875340,14.863774
106,1,5902976,15.184923
107,1,5913621,15.230386
108,1,5915761,15.321143
109,1,6137403,15.427162
110,1,6145407,15.633001
111,1,6217859,15.724864
112,1,6222501,15.808862
113,1,6322936,15.959789
114,1,6345134,16.089418
115,1,6530435,16.159008
116,1,6561300,16.221619
117,1,6568870,16.325266
118,1,6638064,16.392361
119,1,6644723,16.440489
120,1,7035830,16.537475
121,1,7169066,16.640877
122,1,7173895,16.729039
123,1,7245922,16.782091
124,1,7250522,16.953045
125,1,7324547,16.991758
126,1,7362781,17.074536
127,1,7368829,17.143869
128,1,7487749,17.236011
129,1,7491320,17.358144
130,1,7507642,17.376095
131,1,7513025,17.504727
132,1,7603317,17.710633
133,1,7617555,17.95487
134,1,7708733,18.112501
135,1,7711426,18.211912
136,1,7909737,18.347306
137,1,7975789,18.465826
138,1,8196406,18.528849
139,1,8206130,18.657882
140,1,8348505,18.859951
141,1,8352398,18.948124
142,1,8372536,19.042906
143,1,8887937,19.146082
144,1,8985036,19.232079
145,1,8989235,19.316538
146,1,9049032,19.60501
147,1,9067142,19.626819
148,1,9070589,19.833162
149,1,9286018,20.092127
150,1,9292082,20.181249
151,1,9360236,20.321778
152,1,9367908,20.432499
153,1,9396718,20.469986
154,1,9415009,20.589383
155,1,9460746,20.68741
156,1,9476781,20.874179
157,1,9510526,20.981663
158,1,9512371,21.037515
159,1,9579964,21.22185
160,1,9688512,21.251175
161,1,9767817,21.44166
162,1,9891215,21.464187
163,1,9906803,21.60105
164,1,9964708,21.609256
165,1,9978247,21.711437
166,1,10479678,21.789188
167,1,10642793,21.893347
168,1,10654369,21.959715
169,1,10750919,22.039157
170,1,10771488,22.259507
171,1,10802252,22.323344
172,1,10815702,22.606692
173,1,10855315,22.712021
174,1,10874522,22.859649
175,1,10926127,22.963225
176,1,10936544,23.047268
177,1,10962372,23.067841
178,1,10968966,23.188114
179,1,10992104,23.212391
180,1,10995479,23.35851
181,1,11024353,23.407298
182,1,11032827,23.525089
183,1,11171226,23.663079
184,1,11383839,23.725483
185,1,11390336,23.819124
186,1,11703843,24.171036
187,1,11713563,24.312269
188,1,11774956,24.509061
189,1,11779499,24.595409
190,1,11815364,24.698923
191,1,11824303,24.857117
192,1,11907648,24.904085
193,1,11933640,24.989714
194,1,11986621,25.01605
195,1,11999556,25.086054
196,1,12105332,25.182057
197,1,12147753,25.335651
198,1,12157881,25.471184
199,1,12194451,25.678909
200,1,12202095,25.789569
201,1,12262690,25.885555
202,1,12268721,26.022845
203,1,12279581,26.122129
204,1,12600396,26.229713
205,1,12603808,26.338811
206,1,12645497,26.421469
207,1,12654035,26.505436
208,1,12686912,26.583495
209,1,12689692,26.669627
210,1,12722411,26.850396
211,1,12778345,26.953677
212,1,12779618,27.026387
213,1,12866590,27.080903
214,1,12899930,27.175931
215,1,13384058,27.396889
216,1,13807146,28.204497
217,1,13814103,28.336468
218,1,13841295,28.52251
219,1,13843653,28.593594
220,1,13922117,28.736923
221,1,13935141,28.943256
222,1,13947905,28.964694
223,1,13951736,29.070183
224,1,14128152,29.187876
225,1,14130780,29.280199
226,1,14170060,29.402272
227,1,14172505,29.491773
228,1,14226409,29.611517
229,1,14243517,29.722785
230,1,14390137,29.896808
231,1,14394291,29.991675
232,1,14439900,30.019813
233,1,14445584,30.104798
234,1,14507057,30.176427
235,1,14508693,30.243423
236,1,14625432,30.365384
237,1,14629604,30.514344
238,1,14720009,30.666337
239,1,14721426,30.753735
240,1,14792535,30.847426
241,1,14795469,30.92039
242,1,14876379,31.001697
243,1,14894578,31.249846
244,1,15089767,31.429886
245,1,15100939,31.629116
246,1,15150914,31.71608
247,1,15156736,31.871392
248,1,15181454,31.898608
249,1,15184139,32.03452
250,1,15211824,32.120191
251,1,15216378,32.196098
252,1,15309861,32.38515
253,1,15339960,32.642206
254,1,15371724,32.701226
255,1,15374483,32.835073
256,1,15424731,32.928268
257,1,15427117,33.043597
258,1,15567800,33.23623
259,1,15574322,33.46241
260,1,15617054,33.49404
261,1,15621708,33.623113
262,1,15685797,33.70541
263,1,15687814,33.788421
264,1,15743884,33.851143
265,1,15750217,33.947581
266,1,15798317,34.006341
267,1,16050521,34.044672
268,1,16127480,34.239769
269,1,16363940,34.279193
270,1,16396318,34.342348
271,1,16448622,34.58085
272,1,16502256,34.686879
273,1,16804341,34.800941
274,1,16821365,34.950866
275,1,16887185,35.033199
276,1,17003534,35.45293
277,1,17429185,35.681962
278,1,17432399,35.743104
279,1,17495311,35.790094
280,1,17500227,35.898441
281,1,17539073,35.980333
282,1,17541949,36.098209
283,1,17554853,36.228196
284,1,17557133,36.365908
285,1,17675889,36.498616
286,1,17679598,36.599373
287,1,17712649,36.677713
288,1,17874843,36.759984
289,1,17876389,36.818629
290,1,17908005,36.867471
291,1,17918600,36.983634
292,1,17920155,37.071717
293,1,17931702,37.204219
294,1,18042035,37.275782
295,1,18052042,37.368391
296,1,18105728,37.417852
297,1,18112065,37.490799
298,1,18180387,37.622621
299,1,18189098,37.756486
300,1,18263784,37.823647
301,1,18265974,37.879459
302,1,18322014,37.957958
303,1,18323910,38.048083
304,1,18427031,38.186259
305,1,18484945,38.335452
306,1,18490574,38.498724
307,1,18511260,38.591782
308,1,18514902,38.733781
309,1,18566065,38.813957
310,1,18578075,39.067173
311,1,18606653,39.102914
312,1,18611016,39.171675
313,1,18659641,39.273619
314,1,18664626,39.426792
315,1,18703538,39.454805
316,1,18704862,39.502806
317,1,18832820,39.727952
318,1,18869666,39.864225
319,1,18873615,39.960316
320,1,18904033,39.976315
321,1,18907068,40.089362
322,1,19030698,40.297764
323,1,19057778,40.611944
324,1,19067368,40.873268
325,1,19100502,40.888239
326,1,19176667,41.092676
327,1,19197849,41.555099
328,1,19210816,41.649591
329,1,19238942,41.699813
330,1,19244678,41.839342
331,1,19636041,41.989706
332,1,19650220,42.073537
333,1,19806259,42.160144
334,1,19819249,42.337407
335,1,19973920,42.396699
336,1,19978665,42.487814
337,1,20025383,42.52753
338,1,20030565,42.603796
339,1,20058237,42.665661
340,1,20061862,42.813243
341,1,20139463,42.899255
342,1,20141528,43.044842
343,1,20158604,43.140888
344,1,20163290,43.231873
345,1,20281969,43.341058
346,1,20303151,43.407804
347,1,20309565,43.490495
348,1,20435774,43.571535
349,1,20437540,43.648888
350,1,20464891,43.735819
351,1,20477682,43.90072
352,1,20555073,44.032047
353,1,20556762,44.11871
354,1,20605374,44.21547
355,1,20609308,44.34154
356,1,20762133,44.43595
357,1,20766279,44.583264
358,1,20883203,44.671278
359,1,20884941,44.725359
360,1,21009611,44.902614
361,1,21011182,45.018663
362,1,21041555,45.122494
363,1,21567495,45.184401
364,1,21734462,45.378631
365,1,21738020,45.468903
366,1,21821757,45.540309
367,1,21848962,45.633109
368,1,21974834,45.766337
369,1,22008798,45.872411
370,1,22141983,45.928618
371,1,22147077,46.038258
372,1,22345647,46.176454
373,1,22350834,46.251229
374,1,22477493,46.29468
375,1,22649994,46.570049
376,1,22652501,46.638642
377,1,22682133,46.734199
378,1,22735906,46.763071
379,1,22739168,46.9046
380,1,22863296,46.946065
381,1,22869904,47.040453
382,1,22891409,47.138752
383,1,23026293,47.269616
384,1,23087244,47.43305
385,1,23183130,47.595443
386,1,23189123,47.754386
387,1,23212740,47.843849
388,1,23714672,47.988704
389,1,23907702,48.179403
390,1,23926256,48.410596
391,1,23977871,48.504171
392,1,24336524,48.660871
393,1,24421804,48.778738
394,1,24425176,48.837845
395,1,24518643,48.964161
396,1,24530056,49.113182
397,1,24641335,49.250346
398,1,24663965,49.355691
399,1,24876383,49.514797
400,1,24928693,49.638421
401,1,25012493,49.656505
402,1,25017649,49.715412
403,1,25182422,49.735064
404,1,25305783,49.944554
405,1,25309259,50.129941
406,1,25422503,50.312141
407,1,25425629,50.390914
408,1,25472465,50.436965
409,1,25477602,50.51131
410,1,25499030,50.521345
411,1,25529362,50.742776
412,1,25775733,50.777797
413,1,25910624,51.102862
414,1,26002585,51.129047
415,1,26010611,51.198842
416,1,26110143,51.244022
417,1,26118299,51.347713
418,1,26479900,51.476145
419,1,26482556,51.521125
420,1,26699157,51.629825
421,1,26715232,51.681671
422,1,26718448,51.787324
423,1,26898956,51.878975
424,1,26910959,51.946287
425,1,27366975,52.095368
426,1,27395859,52.187504
427,1,27403974,52.307579
428,1,27981827,52.563157
429,1,27989620,52.633079
430,1,28169402,52.661433
431,1,28187374,52.710866
432,1,28420384,52.794961
433,1,28459918,52.895304
434,1,29180014,53.061099
435,1,29190390,53.174294
436,1,29631050,53.265324
437,1,29632400,53.325496
438,1,29707412,53.49346
439,1,29740661,53.711014
440,1,29794833,53.86431
441,1,30062973,54.258039
442,1,30160186,54.304982
443,1,30162821,54.437644
444,1,30401662,54.777064
445,1,30405167,54.855172
446,1,30578188,55.068972
447,1,30614367,55.262071
448,1,30743114,55.433759
449,1,30747270,55.528135
450,1,30792409,55.575417
451,1,30794300,55.690945
452,1,30890860,55.755259
453,1,30892426,55.869528
454,1,30987720,55.964783
455,1,30997926,56.10911
456,1,30999350,56.18811
457,1,31164624,56.376412
458,1,31166788,56.444521
459,1,31216969,56.499304
460,1,31223657,56.690784
461,1,31255634,56.710636
462,1,31260468,56.810003
463,1,31316029,56.886706
464,1,31318133,56.973334
465,1,31363409,57.076202
466,1,31367929,57.15796
467,1,31639120,57.270826
468,1,31642815,57.319508
469,1,32009781,57.472496
470,1,32054094,57.631378
471,1,32143138,57.665663
472,1,32160918,57.759031
473,1,32440710,57.954776
474,1,32925647,58.057345
475,1,32942662,58.120267
476,1,33062554,58.136086
477,1,33066299,58.233235
478,1,33215380,58.296503
479,1,33221282,58.350887
480,1,33920586,58.538014
481,1,33921878,58.608798
482,1,34021286,58.662503
483,1,34023779,58.762729
484,1,34057453,58.842439
485,1,34061898,58.976962
486,1,34183007,59.111998
487,1,34186193,59.211707
488,1,34220381,59.244157
489,1,34221810,59.312359
490,1,34246222,59.331109
491,1,34247896,59.430155
492,1,34269930,59.544912
493,1,34369245,59.63497
494,1,34375199,59.777465
495,1,34427062,59.931651
496,1,34428935,60.044012
497,1,34535791,60.129272
498,1,34541223,60.271283
499,1,34635092,60.379806
500,1,34655468,60.617239
501,1,34798634,60.772581
502,1,34800556,60.904391
503,1,34939339,61.037483
504,1,34945039,61.128907
505,1,35192221,61.431337
506,1,35270657,61.670732
507,1,35312631,61.721395
508,1,35322503,61.853038
509,1,35363422,61.889754
510,1,35379119,62.011649
511,1,35381295,62.096636
512,1,35633937,62.181772
513,1,35719581,62.296289
